Date,Open
2009-09-30,1096.0
2009-10-01,1102.0
2009-10-05,1152.0
2009-10-06,1149.8
2009-10-07,1153.8
2009-10-08,1145.0
2009-10-09,1176.0
2009-10-12,1184.0
2009-10-14,1198.0
2009-10-15,1198.0
2009-10-16,1188.65
2009-10-17,1240.0
2009-10-20,1196.0
2009-10-21,1184.0
2009-10-22,1165.0
2009-10-23,1174.9
2009-10-26,1151.3
2009-10-27,1150.05
2009-10-28,1141.0
2009-10-29,1125.25
2009-10-30,1145.0
2009-11-03,1102.0
2009-11-04,1124.9
2009-11-05,1127.0
2009-11-06,1155.0
2009-11-09,1150.05
2009-11-10,1157.0
2009-11-11,1147.0
2009-11-12,1190.0
2009-11-13,1175.0
2009-11-16,1200.0
2009-11-17,1200.0
2009-11-18,1202.0
2009-11-19,1210.0
2009-11-20,1214.1
2009-11-23,1210.0
2009-11-24,1229.9
2009-11-25,1198.2
2009-11-26,1242.0
2009-11-27,1239.9
2009-11-30,1245.5
2009-12-01,1280.0
2009-12-02,1333.5
2009-12-03,1351.7
2009-12-04,1300.0
2009-12-07,1261.0
2009-12-08,1275.0
2009-12-09,1264.1
2009-12-10,1245.0
2009-12-11,1247.9
2009-12-14,1249.8
2009-12-15,1245.0
2009-12-16,1240.0
2009-12-17,1244.0
2009-12-18,1236.0
2009-12-21,1252.25
2009-12-22,1240.0
2009-12-23,1230.4
2009-12-24,1248.95
2009-12-29,1254.0
2009-12-30,1264.0
2009-12-31,1263.0
2010-01-04,1259.9
2010-01-05,1259.55
2010-01-06,1255.1
2010-01-07,1246.1
2010-01-08,1248.9
2010-01-11,1267.0
2010-01-12,1260.0
2010-01-13,1226.3
2010-01-14,1250.1
2010-01-15,1255.0
2010-01-18,1250.0
2010-01-19,1239.7
2010-01-20,1235.0
2010-01-21,1227.6
2010-01-22,1190.0
2010-01-25,1190.1
2010-01-27,1184.4
2010-01-28,1175.0
2010-01-29,1172.1
2010-02-01,1125.0
2010-02-02,1150.0
2010-02-03,1166.0
2010-02-04,1194.0
2010-02-05,1170.0
2010-02-06,1165.0
2010-02-08,1152.3
2010-02-09,1154.3
2010-02-10,1180.3
2010-02-11,1175.0
2010-02-15,1165.0
